Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF@50V","C_1206_3216Metric",61.4975,-77.4525,270.0000,top
"C2","22pF/50V","C_0603_1608Metric",175.7500,-90.1000,270.0000,top
"C3","100nF@50V","C_0402_1005Metric",60.8500,-72.6500,90.0000,top
"C4","100nF@50V","C_0402_1005Metric",243.6980,-38.1160,180.0000,top
"C5","470nF@50V","C_0805_2012Metric",250.8100,-36.0840,0.0000,top
"C6","22pF/50V","C_0603_1608Metric",176.2500,-73.3500,0.0000,top
"C7","22pF/50V","C_0603_1608Metric",231.4000,-110.2500,0.0000,top
"C8","22pF/50V","C_0603_1608Metric",237.4000,-110.2500,0.0000,top
"C9","470nF@50V","C_0805_2012Metric",250.8100,-38.2430,0.0000,top
"C10","100nF@50V","C_0402_1005Metric",68.1975,-76.6525,90.0000,top
"C12","100nF@50V","C_0603_1608Metric",58.0250,-183.4325,270.0000,top
"C13","100nF@100V","C_0805_2012Metric",90.4000,-152.9000,0.0000,top
"C14","100nF@50V","C_0402_1005Metric",236.0000,-38.7500,180.0000,top
"C15","100nF@50V","C_0402_1005Metric",218.5000,-36.9000,90.0000,top
"C16","100nF@100V","C_0805_2012Metric",90.4000,-162.5000,0.0000,top
"C17","100nF","C_0402_1005Metric",263.5000,-38.0000,270.0000,top
"C18","100nF","C_0402_1005Metric",187.4520,-30.0990,270.0000,top
"C19","100nF@50V","C_0402_1005Metric",169.3490,-46.0180,0.0000,top
"C20","100nF@50V","C_0402_1005Metric",169.3490,-37.0010,0.0000,top
"C21","22uF/25V","C_0805_2012Metric",70.1475,-81.8025,90.0000,top
"C22","10uF@50V","C_1206_3216Metric",161.5440,-107.8770,180.0000,top
"C23","10uF@50V","C_1206_3216Metric",161.5440,-105.2830,180.0000,top
"C24","470nF@50V","C_0805_2012Metric",165.8620,-105.1560,0.0000,top
"C26","2.2uF/16V","C_0603_1608Metric",163.9570,-95.6310,270.0000,top
"C27","470nF/25V","C_0603_1608Metric",165.9890,-95.6310,270.0000,top
"C29","47uF/10V","C_1206_3216Metric",191.1350,-96.5200,90.0000,top
"C30","47uF/10V","C_1206_3216Metric",188.3410,-104.0130,270.0000,top
"C31","47uF/10V","C_1206_3216Metric",185.9280,-104.0130,270.0000,top
"C32","47uF/10V","C_1206_3216Metric",188.7220,-96.5200,90.0000,top
"C33","47uF/10V","C_1206_3216Metric",186.3090,-96.5200,90.0000,top
"C34","220uF@80V","CP_Radial_D10.0mm_P5.00mm",170.9420,-110.1090,270.0000,top
"C35","22uF/25V","C_0805_2012Metric",61.6475,-81.8025,90.0000,top
"C36","10uF@50V","C_1206_3216Metric",98.5775,-77.5525,270.0000,top
"C37","10uF","C_0402_1005Metric",166.0000,-170.1000,180.0000,top
"C38","4.7uF@50V","C_1206_3216Metric",118.0000,-186.5000,270.0000,top
"C39","4.7uF@50V","C_1206_3216Metric",115.5000,-186.5000,270.0000,top
"C40","4.7uF@50V","C_1206_3216Metric",123.0000,-186.5000,270.0000,top
"C41","4.7uF@50V","C_1206_3216Metric",113.0000,-186.5000,270.0000,top
"C42","220uF@80V","CP_Radial_D10.0mm_P5.00mm",106.0000,-184.1323,270.0000,top
"C43","4.7uF@50V","C_1206_3216Metric",81.0000,-168.5000,90.0000,top
"C44","4.7uF@50V","C_1206_3216Metric",81.0000,-174.0000,270.0000,top
"C45","4.7uF@50V","C_1206_3216Metric",78.5000,-168.5000,90.0000,top
"C46","4.7uF@50V","C_1206_3216Metric",78.5000,-174.0000,270.0000,top
"C47","220uF@80V","CP_Radial_D10.0mm_P5.00mm",74.2500,-171.0000,180.0000,top
"C48","22pF/50V","C_0603_1608Metric",250.3000,-110.2500,0.0000,top
"C50","220uF@80V","CP_Radial_D10.0mm_P5.00mm",87.0000,-176.8823,270.0000,top
